a cappella, Redewendung, nhd.; L.: WDG1
Abenteurergeschichte, F., nhd.; L.: WDG1
Abenteurernatur, F., nhd.; L.: WDG1
Abenteurerpolitik, F., nhd.; L.: WDG1
Abenteurerroman, M., nhd.; L.: WDG1
Abenteurerromantik, F., nhd.; L.: WDG1
aber, Adv., nhd.; L.: WDG1
aber, Konj., nhd.; L.: WDG1
Aber, N., nhd.; L.: WDG1
Aberglaube(n), M., nhd.; L.: WDG1
abergläubisch, Adj., nhd.; L.: WDG1
aberhundert, Num. Kard., nhd.; L.: WDG1
aberkennen, V., nhd.; L.: WDG1
Aberkennung, F., nhd.; L.: WDG1
abermalig, Adj., nhd.; L.: WDG1
abermals, Adv., nhd.; L.: WDG1
abernten, V., nhd.; L.: WDG1
Aberration, F., nhd.; L.: WDG1
abertausend, Num. Kard., nhd.; L.: WDG1
Aberwitz, M., nhd.; L.: WDG1
aberwitzig, Adj., nhd.; L.: WDG1
aberziehen, V., nhd.; L.: WDG1
abessen, V., nhd.; L.: WDG1
abfädeln, V., nhd.; L.: WDG1
abfahr-, nhd.; L.: WDG1
abfahren, V., nhd.; L.: WDG1
Abfahrt, F., nhd.; L.: WDG1
Abfahrtbefehl, M., nhd.; L.: WDG1
abfahrtbereit, Adj., nhd.; L.: WDG1
Abfahrtgleis, N., nhd.; L.: WDG1
Abfahrthang, M., nhd.; L.: WDG1
Abfahrtlauf, M., nhd.; L.: WDG1
Abfahrtläufer, M., nhd.; L.: WDG1
Abfahrtort, M., nhd.; L.: WDG1
Abfahrtpiste, F., nhd.; L.: WDG1
Abfahrtrennen, N., nhd.; L.: WDG1
Abfahrtsbefehl, M., nhd.; L.: WDG1
Abfahrtsgleis, N., nhd.; L.: WDG1
Abfahrtshang, M., nhd.; L.: WDG1
Abfahrtsignal, N., nhd.; L.: WDG1
Abfahrtslauf, M., nhd.; L.: WDG1
Abfahrtsläufer, M., nhd.; L.: WDG1
Abfahrtsort, M., nhd.; L.: WDG1
Abfahrtspiste, F., nhd.; L.: WDG1
Abfahrtsrennen, N., nhd.; L.: WDG1
Abfahrtssignal, N., nhd.; L.: WDG1
Abfahrtsstrecke, F., nhd.; L.: WDG1
Abfahrtstag, M., nhd.; L.: WDG1
Abfahrtstechnik, F., nhd.; L.: WDG1
Abfahrtstrecke, F., nhd.; L.: WDG1
Abfahrtszeichen, N., nhd.; L.: WDG1
Abfahrtszeit, F., nhd.; L.: WDG1
